LebwohlLasher: Size: 50, Steps: 50, T*: 0.500: Order: 0.340, Time: 0.517040 s
         1003067 function calls (988177 primitive calls) in 0.967 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      225    0.000    0.000    0.000    0.000 core.py:455(__init__)
      210    0.000    0.000    0.013    0.000 sre_parse.py:944(parse)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       32    0.000    0.000    0.002    0.000 colors.py:409(to_rgba_array)
      419    0.000    0.000    0.000    0.000 function_base.py:348(iterable)
      928    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     5736    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      621    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
    292/3    0.000    0.000    0.446    0.149 <frozen importlib._bootstrap_external>:877(exec_module)
     2556    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
      223    0.000    0.000    0.038    0.000 artist.py:1422(__init__)
     1691    0.000    0.000    0.000    0.000 inspect.py:277(isfunction)
    443/8    0.000    0.000    0.431    0.054 {built-in method builtins.__import__}
      450    0.000    0.000    0.001    0.000 font_manager.py:928(_json_decode)
  342/337    0.000    0.000    0.045    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      278    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
       32    0.000    0.000    0.004    0.000 colors.py:1036(from_list)
     2359    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      876    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     6466    0.000    0.000    0.000    0.000 inspect.py:2699(kind)
     1585    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
       63    0.000    0.000    0.001    0.000 inspect.py:3206(__str__)
      356    0.000    0.000    0.001    0.000 inspect.py:653(_findclass)
     2306    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      954    0.000    0.000    0.006    0.000 artist.py:1542(is_alias)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1422    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      437    0.000    0.000    0.006    0.000 artist.py:1536(number_of_parameters)
      868    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      117    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      438    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
      170    0.000    0.000    0.000    0.000 colors.py:677(__init__)
      650    0.000    0.000    0.012    0.000 inspect.py:2998(from_callable)
      605    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
      243    0.000    0.000    0.000    0.000 inspect.py:2721(__str__)
        1    0.000    0.000    0.000    0.000 helpers.py:692(<dictcomp>)
       30    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
      409    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
      510    0.000    0.000    0.001    0.000 fromnumeric.py:2177(sum)
      270    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
     2700    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       68    0.000    0.000    0.001    0.000 deprecation.py:128(deprecate)
      650    0.000    0.000    0.013    0.000 inspect.py:3252(signature)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
      317    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
     1130    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
     2141    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
     1410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      691    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      662    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      117    0.000    0.000    0.112    0.001 artist.py:1837(kwdoc)
     1410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
     1289    0.000    0.000    0.000    0.000 __init__.py:670(_set)
      553    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      766    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
