LebwohlLasher_vectorization.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.279, Time: 0.956658 s
         1601606 function calls (1579849 primitive calls) in 5.274 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.000    0.000    0.022    0.000 sre_compile.py:783(compile)
      210    0.000    0.000    0.002    0.000 sre_compile.py:560(_compile_info)
     3466    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      978    0.000    0.000    0.007    0.000 __init__.py:711(__setitem__)
     9293    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
2446/2276    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       51    0.000    0.000    0.001    0.000 linalg.py:1193(eig)
      147    0.000    0.000    0.001    0.000 transforms.py:2576(__init__)
     2624    0.000    0.000    0.001    0.000 sre_parse.py:173(append)
     6439    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      109    0.000    0.000    0.034    0.000 backend_bases.py:1805(inaxes)
      472    0.000    0.000    0.000    0.000 cbook.py:1782(<dictcomp>)
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
      344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      870    0.000    0.000    0.002    0.000 colors.py:268(to_rgba)
      103    0.000    0.000    0.029    0.000 backend_bases.py:2970(mouse_move)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     2010    0.000    0.000    0.000    0.000 transforms.py:1929(get_matrix)
     2762    0.000    0.000    0.003    0.000 abc.py:117(__instancecheck__)
      715    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
      510    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     4798    0.000    0.000    0.000    0.000 artist.py:1563(<genexpr>)
      115    0.000    0.000    0.032    0.000 backend_bases.py:1269(_process)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      592    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      225    0.000    0.000    0.000    0.000 core.py:455(__init__)
      143    0.000    0.000    0.007    0.000 patches.py:880(get_bbox)
     7508    0.000    0.000    0.000    0.000 inspect.py:2687(name)
 3538/834    0.000    0.000    0.000    0.000 __init__.py:353(recursive_subclasses)
      244    0.000    0.000    0.003    0.000 typing.py:1016(__init__)
     2714    0.000    0.000    0.000    0.000 util.py:185(is_consecutive)
      296    0.000    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      317    0.000    0.000    0.003    0.000 overrides.py:142(decorator)
       60    0.000    0.000    0.002    0.000 lines.py:666(recache)
     1695    0.000    0.000    0.001    0.000 transforms.py:198(<lambda>)
      356    0.000    0.000    0.001    0.000 inspect.py:663(_finddoc)
      155    0.000    0.000    0.018    0.000 patches.py:259(get_transform)
      109    0.000    0.000    0.001    0.000 patches.py:114(_process_radius)
      117    0.000    0.000    0.000    0.000 backend_bases.py:1263(__init__)
   306/12    0.000    0.000    0.002    0.000 core.py:776(_parseNoCache)
      210    0.000    0.000    0.014    0.000 sre_parse.py:944(parse)
     1496    0.000    0.000    0.001    0.000 colors.py:216(_is_nth_color)
       21    0.000    0.000    0.000    0.000 __init__.py:213(__getattr__)
      170    0.000    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
      252    0.000    0.000    0.007    0.000 markers.py:306(_set_marker)
      684    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
     2136    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
     1527    0.000    0.000    0.001    0.000 function_base.py:348(iterable)
       94    0.000    0.000    0.005    0.000 __init__.py:1391(_preprocess_data)
      105    0.000    0.000    0.141    0.001 artist.py:159(_update_set_signature_and_docstring)
     2935    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      136    0.000    0.000    0.015    0.000 _docstring.py:38(__call__)
      252    0.000    0.000    0.004    0.000 transforms.py:1472(transform)
        2    0.000    0.000    0.000    0.000 quiver.py:664(_h_arrows)
       63    0.000    0.000    0.001    0.000 inspect.py:3206(__str__)
      103    0.000    0.000    0.000    0.000 weakref.py:69(__call__)
     2556    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
      955    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
     1074    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     5740    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
 1052/894    0.000    0.000    0.006    0.000 deprecation.py:289(wrapper)
    296/6    0.000    0.000    0.475    0.079 <frozen importlib._bootstrap_external>:877(exec_module)
       72    0.000    0.000    0.002    0.000 lines.py:738(draw)
       24    0.000    0.000    0.002    0.000 ticker.py:2079(_raw_ticks)
       94    0.000    0.000    0.003    0.000 text.py:157(_reset_visual_defaults)
     1288    0.000    0.000    0.002    0.000 artist.py:416(pchanged)
      410    0.000    0.000    0.003    0.000 transforms.py:1340(__add__)
     1504    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     2032    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 {method 'set_window_title' of '_macosx.FigureManager' objects}
      450    0.000    0.000    0.001    0.000 font_manager.py:928(_json_decode)
      278    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
       62    0.000    0.000    0.005    0.000 text.py:734(draw)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
  348/346    0.000    0.000    0.073    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      223    0.000    0.000    0.036    0.000 artist.py:1422(__init__)
   442/17    0.000    0.000    0.448    0.026 {built-in method builtins.__import__}
      109    0.000    0.000    0.033    0.000 backend_bases.py:1820(<listcomp>)
       37    0.000    0.000    0.000    0.000 function_base.py:24(linspace)
     2306    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
     6476    0.000    0.000    0.000    0.000 inspect.py:2699(kind)
      888    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1585    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
1891/1795    0.000    0.000    0.004    0.000 {built-in method builtins.next}
     1697    0.000    0.000    0.000    0.000 inspect.py:277(isfunction)
