Usage: python LebwohlLasher_vectorization_numba.py <ITERATIONS> <SIZE> <TEMPERATURE> <PLOTFLAG>
         1221555 function calls (1203393 primitive calls) in 1.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      696    0.000    0.000    0.019    0.000 inspect.py:3252(signature)
        1    0.000    0.000    0.001    0.001 __init__.py:351(_sanity_check)
      696    0.000    0.000    0.019    0.000 inspect.py:2998(from_callable)
      242    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      788    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.029    0.010 core.py:1(<module>)
      709    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
     2504    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      409    0.000    0.000    0.003    0.000 rcsetup.py:307(validate_color)
      409    0.000    0.000    0.003    0.000 core.py:499(copy)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
     5800    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      671    0.000    0.000    0.173    0.000 ffi.py:132(__getattr__)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      306    0.000    0.000    0.000    0.000 results.py:136(__new__)
      283    0.000    0.000    0.003    0.000 dylib.py:15(add_symbol)
      242    0.000    0.000    0.022    0.000 sre_compile.py:622(_code)
   256/18    0.000    0.000    0.001    0.000 ast.py:420(generic_visit)
      438    0.000    0.000    0.002    0.000 colors.py:268(to_rgba)
       68    0.000    0.000    0.002    0.000 deprecation.py:128(deprecate)
      721    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      300    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
     1417    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     2210    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
  371/368    0.000    0.000    0.002    0.000 abstract.py:61(__call__)
      283    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       77    0.000    0.000    0.002    0.000 templates.py:880(make_overload_template)
      242    0.000    0.000    0.001    0.000 sre_parse.py:225(__init__)
     1289    0.000    0.000    0.000    0.000 __init__.py:670(_set)
      371    0.000    0.000    0.001    0.000 abstract.py:49(_intern)
      525    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
  414/339    0.000    0.000    0.011    0.000 typing.py:306(inner)
      526    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      455    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       65    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      612    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      720    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
  255/234    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      850    0.000    0.000    0.000    0.000 colors.py:216(_is_nth_color)
     1160    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      104    0.000    0.000    0.221    0.002 artist.py:126(__init_subclass__)
 1803/414    0.000    0.000    0.003    0.000 abc.py:121(__subclasscheck__)
     1187    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
       98    0.000    0.000    0.005    0.000 typing.py:483(Union)
      686    0.000    0.000    0.001    0.000 event.py:100(__init__)
     2521    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       62    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
       65    0.000    0.000    0.001    0.000 inspect.py:3206(__str__)
      449    0.000    0.000    0.001    0.000 re.py:202(sub)
      260    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      887    0.000    0.000    0.000    0.000 inspect.py:632(_is_wrapper)
     1226    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      242    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      647    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      343    0.000    0.000    0.001    0.000 event.py:404(end_event)
      419    0.000    0.000    0.000    0.000 function_base.py:348(iterable)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
      144    0.000    0.000    0.000    0.000 typing.py:1284(__hash__)
    45/12    0.000    0.000    0.002    0.000 typing.py:1046(__getitem__)
      343    0.000    0.000    0.001    0.000 event.py:390(start_event)
       29    0.000    0.000    0.000    0.000 pathlib.py:438(_select_from)
      448    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
     1005    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
     1277    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       48    0.000    0.000    0.005    0.000 __init__.py:1347(_add_data_doc)
      798    0.000    0.000    0.000    0.000 __init__.py:966(<lambda>)
       98    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 getlimits.py:540(_init)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      558    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
     1046    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      230    0.000    0.000    0.001    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
     2248    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      836    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
   256/18    0.000    0.000    0.001    0.000 ast.py:414(visit)
      252    0.000    0.000    0.000    0.000 inspect.py:2721(__str__)
        2    0.000    0.000    0.034    0.017 builtins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
     1576    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      597    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
     25/6    0.000    0.000    0.001    0.000 core.py:3816(streamline)
      512    0.000    0.000    0.001    0.000 re.py:187(match)
     1187    0.000    0.000    0.003    0.000 abc.py:117(__instancecheck__)
      791    0.000    0.000    0.000    0.000 __init__.py:690(_get)
      215    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
      612    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.171    0.171 ffi.py:110(_load_lib)
       26    0.000    0.000    0.001    0.000 ffi.py:10(_make_opaque_ref)
        1    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
     2338    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
      474    0.000    0.000    0.000    0.000 __init__.py:741(__getitem__)
      267    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      729    0.000    0.000    0.000    0.000 types.py:176(__get__)
      146    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
       97    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      631    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.382    0.382 pyplot.py:1(<module>)
      409    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      345    0.000    0.000    0.001    0.000 ffi.py:76(__exit__)
        1    0.000    0.000    0.002    0.002 base.py:147(_load_global_helpers)
     1868    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
     1234    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
     1454    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
      525    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       32    0.000    0.000    0.002    0.000 colors.py:1036(from_list)
       18    0.000    0.000    0.005    0.000 rcsetup.py:799(validate_cycler)
     1334    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      302    0.000    0.000    0.000    0.000 templates.py:1239(register_global)
      412    0.000    0.000    0.002    0.000 colors.py:221(is_color_like)
      242    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       64    0.000    0.000    0.001    0.000 core.py:4349(__init__)
      686    0.000    0.000    0.000    0.000 event.py:66(_guard_kind)
      484    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      686    0.000    0.000    0.000    0.000 event.py:209(broadcast)
      207    0.000    0.000    0.000    0.000 typeconv.py:49(set_compatible)
      321    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      242    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
      345    0.000    0.000    0.001    0.000 ffi.py:70(__enter__)
       39    0.000    0.000    0.000    0.000 typing.py:284(_flatten_literal_params)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
      585    0.000    0.000    0.000    0.000 inspect.py:191(isclass)
      730    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       39    0.000    0.000    0.001    0.000 typing.py:532(Literal)
      235    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
      236    0.000    0.000    0.001    0.000 __init__.py:384(__getattr__)
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      430    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      137    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       65    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      732    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
  126/115    0.000    0.000    0.024    0.000 _docstring.py:79(__call__)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      511    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
    72/12    0.000    0.000    0.003    0.000 core.py:3861(parseImpl)
       77    0.000    0.000    0.003    0.000 extending.py:129(decorate)
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
       32    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
       44    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.001    0.001 passmanagers.py:1(<module>)
       77    0.000    0.000    0.000    0.000 extending.py:62(overload)
        4    0.000    0.000    0.003    0.001 dataclasses.py:881(_process_class)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        7    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
       79    0.000    0.000    0.001    0.000 core.py:3601(__init__)
        8    0.000    0.000    0.002    0.000 core.py:2678(__init__)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       67    0.000    0.000    0.001    0.000 colors.py:1108(<dictcomp>)
      200    0.000    0.000    0.000    0.000 pyplot.py:164(_copy_docstring_and_deprecators)
      136    0.000    0.000    0.000    0.000 abstract.py:40(__init__)
