LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 1.487729 s
         2898209 function calls (2814732 primitive calls) in 3.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2804    0.002    0.000    0.006    0.000 _utils.py:16(register)
     2674    0.001    0.000    0.003    0.000 cbook.py:405(_strip_comment)
       27    0.001    0.000    0.003    0.000 analysis.py:118(compute_dead_maps)
8302/8146    0.001    0.000    0.003    0.000 {built-in method builtins.repr}
8687/4992    0.001    0.000    0.008    0.000 abc.py:121(__subclasscheck__)
     2388    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
  608/269    0.001    0.000    0.029    0.000 sre_parse.py:436(_parse_sub)
     1900    0.001    0.000    0.002    0.000 context.py:455(_lookup_global)
     6392    0.001    0.000    0.001    0.000 event.py:138(is_start)
     4857    0.001    0.000    0.003    0.000 {built-in method builtins.max}
    45/12    0.001    0.000    0.003    0.000 typing.py:1046(__getitem__)
       81    0.001    0.000    0.002    0.000 analysis.py:81(def_reach)
   702/48    0.001    0.000    1.252    0.026 <frozen importlib._bootstrap_external>:877(exec_module)
      575    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     3196    0.001    0.000    0.001    0.000 event.py:265(on_start)
     5938    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     4852    0.001    0.000    0.029    0.000 ir.py:350(list_vars)
     1180    0.001    0.000    0.001    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
    11841    0.001    0.000    0.001    0.000 pprint.py:95(__lt__)
2329/2325    0.001    0.000    0.006    0.000 context.py:517(can_convert)
      234    0.001    0.000    0.017    0.000 npydecl.py:97(generic)
      514    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
     2226    0.001    0.000    0.012    0.000 ffi.py:76(__exit__)
     2226    0.001    0.000    0.010    0.000 ffi.py:70(__enter__)
      108    0.001    0.000    0.002    0.000 analysis.py:91(liveness)
  789/786    0.001    0.000    0.130    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      865    0.001    0.000    0.002    0.000 inspect.py:66(get_annotations)
2042/1853    0.001    0.000    0.004    0.000 contextlib.py:139(__exit__)
      937    0.001    0.000    0.002    0.000 inspect.py:612(unwrap)
     1428    0.001    0.000    0.003    0.000 weakref.py:415(__getitem__)
     1190    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
    11559    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2106    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1121    0.001    0.000    0.003    0.000 base.py:123(_match)
       72    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
    18568    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     7292    0.001    0.000    0.001    0.000 enum.py:678(__new__)
       65    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
      702    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
4653/4483    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1882    0.001    0.000    0.001    0.000 registry.py:96(__getitem__)
     2072    0.001    0.000    0.005    0.000 base.py:368(insert_func_defn)
